16
6.42728|7.27272|0.00933725|0.690663|0|1.91098
8.46869|9.43131|0.440699|0.859301|0|1.81752
5.65142|6.84858|1.00639|1.49361|0|1.80444
7.23974|8.46026|0.923658|1.57634|0|1.90202
0.0164863|1.08351|1.06577|1.83423|0|1.75261
8.57271|9.52729|1.66399|2.23601|0|1.88691
0.0585213|0.641479|2.64592|3.05408|0|1.69101
1.09797|2.00203|2.87066|3.42934|0|1.93211
5.67378|6.62622|3.3599|3.9401|0|1.76938
0.402194|1.29781|3.5586|3.9414|0|1.76078
9.58554|10.9145|3.41172|4.08828|0|1.89156
8.67415|10.0259|4.10926|4.59074|0|1.74205
2.53841|3.76159|4.36956|4.93044|0|1.88938
6.82596|7.67404|4.83409|5.26591|0|1.85868
10.4867|11.2133|4.77707|5.32293|0|1.90476
8.88977|10.2102|7.50252|7.99748|0|1.83292
